component_id,lot_id,wafer_id,val_0h,val_24h,val_96h,val_168h,iddq_0h,iddq_24h,tpd_0h,tpd_24h,static_limit,static_pass_0h,static_pass_24h,defect_type,is_defective
IC_1000,LOT_A,W21,11.1904,12.3577,13.7634,14.8474,2.3634,2.4211,11.8059,11.8066,50.0,1,1,normal,0
IC_1001,LOT_D,W14,11.0372,12.0068,13.5934,14.9062,2.6385,2.6993,11.2854,11.3504,50.0,1,1,normal,0
IC_1002,LOT_A,W12,11.4584,12.8887,14.1684,15.1824,2.456,2.5385,12.2516,12.5959,50.0,1,1,normal,0
IC_1003,LOT_C,W05,12.0345,15.9627,36.2962,64.6661,1.9849,2.2122,13.2128,13.7422,50.0,1,1,early_drifter,1
IC_1004,LOT_C,W04,13.5678,19.8657,52.6878,99.294,2.3606,2.7098,11.8231,12.654,50.0,1,1,early_drifter,1
IC_1005,LOT_F,W01,8.8691,9.6124,10.3339,12.2704,1.6971,1.7691,13.4044,13.3477,50.0,1,1,normal,0
IC_1006,LOT_B,W20,10.5721,11.6028,12.3159,13.021,2.5901,2.6447,9.1055,9.3772,50.0,1,1,normal,0
IC_1007,LOT_C,W24,10.3492,11.9112,13.2047,14.6992,1.9275,2.0042,10.4264,10.6207,50.0,1,1,normal,0
IC_1008,LOT_A,W08,8.4242,10.0167,11.6167,12.9601,2.6786,2.79,10.9722,11.1427,50.0,1,1,normal,0
IC_1009,LOT_C,W19,12.2334,13.2333,13.9412,14.1457,2.6447,2.7189,11.1453,11.344,50.0,1,1,normal,0
IC_1010,LOT_C,W17,12.2554,14.0729,15.107,15.3248,2.2742,2.3956,12.8718,12.9556,50.0,1,1,normal,0
IC_1011,LOT_D,W16,10.0695,10.9573,11.8304,12.7228,2.5635,2.6146,11.422,11.6142,50.0,1,1,normal,0
IC_1012,LOT_F,W03,10.9272,12.5107,14.3515,15.0379,2.2614,2.3733,12.2985,12.3947,50.0,1,1,normal,0
IC_1013,LOT_A,W24,39.4145,41.3026,43.416,44.7201,5.0637,5.1676,15.6774,15.8554,50.0,1,1,latent_distribution_outlier,1
IC_1014,LOT_E,W22,6.9758,7.6066,8.4216,9.5453,1.9999,2.0543,13.1447,13.3567,50.0,1,1,normal,0
IC_1015,LOT_F,W19,11.2021,12.0835,13.1739,14.0252,2.4231,2.4399,12.95,13.2323,50.0,1,1,normal,0
IC_1016,LOT_E,W07,11.6301,12.6143,14.0108,14.5849,2.1538,2.2339,11.4257,11.5018,50.0,1,1,normal,0
IC_1017,LOT_E,W13,11.3595,12.1331,12.9827,13.7132,2.35,2.3395,13.9667,14.1283,50.0,1,1,normal,0
IC_1018,LOT_B,W11,8.5167,9.3617,9.9666,10.5679,2.3221,2.3551,10.4061,10.5975,50.0,1,1,normal,0
IC_1019,LOT_A,W04,10.9256,12.1277,13.5611,14.5814,2.9071,3.0258,11.7265,11.8719,50.0,1,1,normal,0
IC_1020,LOT_C,W19,12.6734,13.4675,14.1318,14.6797,2.4279,2.451,11.0299,11.241,50.0,1,1,normal,0
IC_1021,LOT_E,W21,11.1463,11.624,13.1714,13.1315,2.4898,2.5369,12.7637,12.8769,50.0,1,1,normal,0
IC_1022,LOT_A,W13,8.9657,9.7637,11.5652,11.7795,2.4705,2.4979,11.7619,11.9069,50.0,1,1,normal,0
