component_id,lot_id,wafer_id,val_0h,val_24h,val_96h,val_168h,iddq_0h,iddq_24h,tpd_0h,tpd_24h,static_limit,static_pass_0h,static_pass_24h,defect_type,is_defective
IC_5876,LOT_D,W09,10.1952,11.7396,13.3572,13.6193,2.4977,2.6081,12.4922,12.7501,50.0,1,1,normal,0
IC_5646,LOT_F,W07,9.3679,10.7063,11.6482,12.8579,1.872,1.9618,13.2219,13.3167,50.0,1,1,normal,0
IC_3607,LOT_F,W20,9.2422,10.6252,12.4591,13.6104,1.8477,1.8959,12.8541,13.1291,50.0,1,1,normal,0
IC_6640,LOT_F,W08,9.6573,11.2832,12.8622,13.2381,2.1951,2.2945,13.2892,13.5198,50.0,1,1,normal,0
IC_6763,LOT_D,W24,10.8577,11.95,12.8083,13.3377,2.4195,2.5603,13.1723,13.3176,50.0,1,1,normal,0
IC_5834,LOT_F,W21,11.6923,13.3274,14.93,15.3519,2.1498,2.2334,13.5168,13.7349,50.0,1,1,normal,0
IC_4606,LOT_A,W01,8.8018,10.2283,11.2952,11.4105,2.221,2.2912,11.9959,12.0161,50.0,1,1,normal,0
IC_5232,LOT_F,W01,10.2272,11.2681,12.4546,13.7219,2.2814,2.3186,12.8651,12.851,50.0,1,1,normal,0
IC_5172,LOT_A,W04,42.3142,43.2021,44.9246,45.4678,5.431,5.4582,16.1118,16.1497,50.0,1,1,latent_distribution_outlier,1
IC_3672,LOT_E,W07,11.4566,12.0535,13.0217,13.7195,2.4829,2.5185,13.669,13.87,50.0,1,1,normal,0
IC_2865,LOT_B,W02,9.7894,10.88,12.2826,12.5515,2.2526,2.3284,11.5168,11.6796,50.0,1,1,normal,0
IC_4975,LOT_A,W19,7.0502,12.6167,42.4894,83.599,2.1479,2.4985,11.4547,12.3789,50.0,1,1,early_drifter,1
IC_5084,LOT_A,W03,41.0189,42.6222,44.7503,45.7071,5.05,5.1634,17.051,17.4283,50.0,1,1,latent_distribution_outlier,1
IC_6803,LOT_F,W01,10.5295,11.6777,12.8702,13.5601,2.5852,2.6762,12.8251,12.9321,50.0,1,1,normal,0
IC_3178,LOT_A,W05,10.0353,10.7507,11.9734,12.6271,2.7819,2.8334,12.5253,12.452,50.0,1,1,normal,0
IC_5998,LOT_D,W09,10.6133,11.6235,12.6734,14.128,2.2226,2.2823,12.3019,12.4868,50.0,1,1,normal,0
IC_5563,LOT_F,W22,10.0898,11.8829,13.0144,14.3762,2.2923,2.3741,14.4586,14.7234,50.0,1,1,normal,0
IC_5072,LOT_A,W18,8.1735,9.5253,10.8126,11.7615,2.7026,2.812,12.2871,12.4934,50.0,1,1,normal,0
